concept_id,exam_weight
memory_layout,0.04
stack_frame,0.05
buffer_overflow,0.12
printf_basics,0.03
format_string_vulnerability,0.10
integer_representation,0.04
integer_overflow,0.09
safe_c_functions,0.05
safe_libraries,0.04
safe_programming_languages,0.03
software_testing,0.04
fuzzing,0.07
authentication,0.06
authorization_access_control,0.07
logging_monitoring_auditing,0.05
confinement,0.03
virtual_machine_confinement,0.04
container_confinement,0.03
reference_monitor,0.06
hardware_assisted_protection,0.03
tpm,0.04
trusted_execution_environment,0.07
